city,province,country,lastUpdate,keyId,confirmed,deaths,recovered
,,Afghanistan,2020-10-04T04:23:44+00:00,Afghanistan,39297,1462,32842.0
,,Albania,2020-10-04T04:23:44+00:00,Albania,14117,392,8536.0
,,Algeria,2020-10-04T04:23:44+00:00,Algeria,51995,1756,36482.0
,,Andorra,2020-10-04T04:23:44+00:00,Andorra,2110,53,1540.0
,,Angola,2020-10-04T04:23:44+00:00,Angola,5370,193,2436.0
,,Antigua and Barbuda,2020-10-04T04:23:44+00:00,Antigua and Barbuda,107,3,96.0
,,Argentina,2020-10-04T04:23:44+00:00,Argentina,790818,20795,626114.0
,,Armenia,2020-10-04T04:23:44+00:00,Armenia,51925,972,44583.0
,Australian Capital Territory,Australia,2020-10-04T04:23:44+00:00,"Australian Capital Territory, Australia",113,3,110.0
,New South Wales,Australia,2020-10-04T04:23:44+00:00,"New South Wales, Australia",4234,53,3131.0
,Northern Territory,Australia,2020-10-04T04:23:44+00:00,"Northern Territory, Australia",33,0,31.0
,Queensland,Australia,2020-10-04T04:23:44+00:00,"Queensland, Australia",1160,6,1148.0
,South Australia,Australia,2020-10-04T04:23:44+00:00,"South Australia, Australia",470,4,465.0
,Tasmania,Australia,2020-10-04T04:23:44+00:00,"Tasmania, Australia",230,13,217.0
,Victoria,Australia,2020-10-04T04:23:44+00:00,"Victoria, Australia",20209,806,19102.0
,Western Australia,Australia,2020-10-04T04:23:44+00:00,"Western Australia, Australia",686,9,660.0
,,Austria,2020-10-04T04:23:44+00:00,Austria,47432,809,38045.0
,,Azerbaijan,2020-10-04T04:23:44+00:00,Azerbaijan,40561,595,38354.0
,,Bahamas,2020-10-04T04:23:44+00:00,Bahamas,4332,96,2375.0
,,Bahrain,2020-10-04T04:23:44+00:00,Bahrain,72310,258,66813.0
,,Bangladesh,2020-10-04T04:23:44+00:00,Bangladesh,367565,5325,280069.0
,,Barbados,2020-10-04T04:23:44+00:00,Barbados,196,7,182.0
,,Belarus,2020-10-04T04:23:44+00:00,Belarus,79852,851,75148.0
,,Belgium,2020-10-04T04:23:44+00:00,Belgium,127623,10044,19645.0
,,Belize,2020-10-04T04:23:44+00:00,Belize,2080,28,1290.0
,,Benin,2020-10-04T04:23:44+00:00,Benin,2357,41,1973.0
,,Bhutan,2020-10-04T04:23:44+00:00,Bhutan,283,0,230.0
,,Bolivia,2020-10-04T04:23:44+00:00,Bolivia,136569,8073,97105.0
,,Bosnia and Herzegovina,2020-10-04T04:23:44+00:00,Bosnia and Herzegovina,27975,871,21108.0
,,Botswana,2020-10-04T04:23:44+00:00,Botswana,3172,16,710.0
,Acre,Brazil,2020-10-04T04:23:44+00:00,"Acre, Brazil",28662,667,26885.0
,Alagoas,Brazil,2020-10-04T04:23:44+00:00,"Alagoas, Brazil",87928,2091,84709.0
,Amapa,Brazil,2020-10-04T04:23:44+00:00,"Amapa, Brazil",48602,715,36489.0
,Amazonas,Brazil,2020-10-04T04:23:44+00:00,"Amazonas, Brazil",142137,4169,120012.0
,Bahia,Brazil,2020-10-04T04:23:44+00:00,"Bahia, Brazil",314711,6890,301080.0
,Ceara,Brazil,2020-10-04T04:23:44+00:00,"Ceara, Brazil",242669,9050,215635.0
,Distrito Federal,Brazil,2020-10-04T04:23:44+00:00,"Distrito Federal, Brazil",194783,3309,184460.0
,Espirito Santo,Brazil,2020-10-04T04:23:44+00:00,"Espirito Santo, Brazil",133744,3572,123083.0
,Goias,Brazil,2020-10-04T04:23:44+00:00,"Goias, Brazil",215938,4832,204925.0
,Maranhao,Brazil,2020-10-04T04:23:44+00:00,"Maranhao, Brazil",175218,3787,165886.0
,Mato Grosso,Brazil,2020-10-04T04:23:44+00:00,"Mato Grosso, Brazil",125732,3450,107119.0
,Mato Grosso do Sul,Brazil,2020-10-04T04:23:44+00:00,"Mato Grosso do Sul, Brazil",71476,1335,64799.0
,Minas Gerais,Brazil,2020-10-04T04:23:44+00:00,"Minas Gerais, Brazil",305527,7569,270475.0
,Para,Brazil,2020-10-04T04:23:44+00:00,"Para, Brazil",233802,6593,217904.0
,Paraiba,Brazil,2020-10-04T04:23:44+00:00,"Paraiba, Brazil",122681,2846,98017.0
,Parana,Brazil,2020-10-04T04:23:44+00:00,"Parana, Brazil",183715,4574,133977.0
,Pernambuco,Brazil,2020-10-04T04:23:44+00:00,"Pernambuco, Brazil",149349,8318,129516.0
,Piaui,Brazil,2020-10-04T04:23:44+00:00,"Piaui, Brazil",98108,2144,95708.0
,Rio Grande do Norte,Brazil,2020-10-04T04:23:44+00:00,"Rio Grande do Norte, Brazil",70553,2402,41449.0
,Rio Grande do Sul,Brazil,2020-10-04T04:23:44+00:00,"Rio Grande do Sul, Brazil",202587,4898,187652.0
,Rio de Janeiro,Brazil,2020-10-04T04:23:44+00:00,"Rio de Janeiro, Brazil",271575,18749,247541.0
,Rondonia,Brazil,2020-10-04T04:23:44+00:00,"Rondonia, Brazil",66576,1371,58783.0
,Roraima,Brazil,2020-10-04T04:23:44+00:00,"Roraima, Brazil",51298,661,46135.0
,Santa Catarina,Brazil,2020-10-04T04:23:44+00:00,"Santa Catarina, Brazil",218633,2842,208547.0
,Sao Paulo,Brazil,2020-10-04T04:23:44+00:00,"Sao Paulo, Brazil",1003429,36136,865135.0
,Sergipe,Brazil,2020-10-04T04:23:44+00:00,"Sergipe, Brazil",78002,2051,72063.0
,Tocantins,Brazil,2020-10-04T04:23:44+00:00,"Tocantins, Brazil",69398,966,53124.0
,,Brunei,2020-10-04T04:23:44+00:00,Brunei,146,3,142.0
,,Bulgaria,2020-10-04T04:23:44+00:00,Bulgaria,21518,841,14984.0
,,Burkina Faso,2020-10-04T04:23:44+00:00,Burkina Faso,2154,59,1397.0
,,Burma,2020-10-04T04:23:44+00:00,Burma,16503,371,4795.0
,,Burundi,2020-10-04T04:23:44+00:00,Burundi,513,1,472.0
,,Cabo Verde,2020-10-04T04:23:44+00:00,Cabo Verde,6296,62,5409.0
,,Cambodia,2020-10-04T04:23:44+00:00,Cambodia,278,0,275.0
,,Cameroon,2020-10-04T04:23:44+00:00,Cameroon,20924,420,19764.0
,Alberta,Canada,2020-10-04T04:23:44+00:00,"Alberta, Canada",18357,272,16527.0
,British Columbia,Canada,2020-10-04T04:23:44+00:00,"British Columbia, Canada",9381,238,7841.0
